[2025-04-14T05:50:00.253+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-29 (offset=0)
[2025-04-14T05:50:00.631+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-30 (offset=0)
[2025-04-14T05:50:00.919+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-31 (offset=0)
[2025-04-14T05:50:01.221+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-01 (offset=0)
[2025-04-14T05:50:01.606+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-02 (offset=0)
[2025-04-14T05:50:01.986+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-03 (offset=0)
[2025-04-14T05:50:02.376+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-04 (offset=0)
[2025-04-14T05:50:02.746+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-05 (offset=0)
[2025-04-14T05:50:03.159+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-06 (offset=0)
[2025-04-14T05:50:03.467+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-07 (offset=0)
[2025-04-14T05:50:03.773+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-08 (offset=0)
[2025-04-14T05:50:04.172+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-09 (offset=0)
[2025-04-14T05:50:04.556+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-10 (offset=0)
[2025-04-14T05:50:04.967+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-11 (offset=0)
[2025-04-14T05:50:05.387+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-12 (offset=0)
[2025-04-14T05:50:05.771+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-13 (offset=0)
[2025-04-14T05:50:06.132+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-14 (offset=0)
[2025-04-14T05:50:06.497+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-15 (offset=0)
[2025-04-14T05:50:06.888+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-16 (offset=0)
[2025-04-14T05:50:07.265+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-17 (offset=0)
[2025-04-14T05:50:07.656+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-18 (offset=0)
[2025-04-14T05:50:08.115+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-19 (offset=0)
[2025-04-14T05:50:08.545+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-20 (offset=0)
[2025-04-14T05:50:08.851+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-21 (offset=0)
[2025-04-14T05:50:09.132+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-22 (offset=0)
[2025-04-14T05:50:09.651+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-23 (offset=0)
[2025-04-14T05:50:10.101+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-24 (offset=0)
[2025-04-14T05:50:10.508+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-25 (offset=0)
[2025-04-14T05:50:10.910+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-26 (offset=0)
[2025-04-14T05:50:11.322+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-27 (offset=0)
[2025-04-14T05:50:11.633+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-28 (offset=0)
[2025-04-14T05:50:11.950+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-29 (offset=0)
[2025-04-14T05:50:12.367+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-06-30 (offset=0)
[2025-04-14T05:50:12.787+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-01 (offset=0)
[2025-04-14T05:50:13.242+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-02 (offset=0)
[2025-04-14T05:50:13.612+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-03 (offset=0)
[2025-04-14T05:50:13.946+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-04 (offset=0)
[2025-04-14T05:50:14.308+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-05 (offset=0)
